city,banana,vendor,population,coverage,meeting_count
"Sacramento, CA",sacramentoCA,legistar,526384,has_items,47
"Mesa, AZ",mesaAZ,legistar,511648,has_summaries,35
"Atlanta, GA",atlantaGA,iqm2,510823,has_summaries,51
"Kansas City, MO",kansascityMO,legistar,510704,has_summaries,61
"Staten Island, NY",statenislandNY,granicus,495747,config_only,0
"Colorado Springs, CO",coloradospringsCO,legistar,488664,has_summaries,14
"Raleigh, NC",raleighNC,escribe,482295,has_summaries,57
"Miami, FL",miamiFL,iqm2,455924,has_summaries,53
"Long Beach, CA",longbeachCA,primegov,449468,has_items,74
"Oakland, CA",oaklandCA,legistar,436504,has_summaries,56
"Nashville, TN",nashvilleTN,legistar,429204,has_summaries,56
"Bakersfield, CA",bakersfieldCA,escribe,413381,config_only,0
"Tulsa, OK",tulsaOK,granicus,411894,config_only,0
"Tampa, FL",tampaFL,onbase,403364,has_summaries,9
"Arlington, TX",arlingtonTX,granicus,398431,config_only,0
"Wichita, KS",wichitaKS,granicus,396119,config_only,0
"Aurora, CO",auroraCO,legistar,395052,config_only,0
"New Orleans, LA",neworleansLA,legistar,364136,has_summaries,3
"Cleveland, OH",clevelandOH,legistar,362656,has_summaries,26
"Anaheim, CA",anaheimCA,granicus,340512,config_only,0
"Orlando, FL",orlandoFL,granicus,320742,config_only,0
"Stockton, CA",stocktonCA,granicus,319543,config_only,0
"Riverside, CA",riversideCA,legistar,318858,has_items,38
"Corpus Christi, TX",corpuschristiTX,legistar,316595,has_summaries,42
"Irvine, CA",irvineCA,granicus,314621,config_only,0
"Cincinnati, OH",cincinnatiOH,legistar,311097,has_summaries,6
"Santa Ana, CA",santaanaCA,primegov,310539,has_items,15
"Newark, NJ",newarkNJ,legistar,304960,has_items,4
"Pittsburgh, PA",pittsburghPA,legistar,303255,has_summaries,25
"Greensboro, NC",greensboroNC,legistar,302296,config_only,0
"Durham, NC",durhamNC,onbase,296186,has_summaries,1
"Lexington, KY",lexingtonKY,legistar,294163,has_summaries,16
"Plano, TX",planoTX,novusagenda,290190,has_items,88
"North Las Vegas, NV",northlasvegasNV,primegov,284771,has_summaries,16
"St. Louis, MO",stlouisMO,civicclerk,281754,has_summaries,9
